,BoroCT2010,counts,BldgAge,NumFloors,AssessTot,ComArea,NumBldgs,white_pop,black_pop,asian_pop,tworaces_pop,hisplat_pop,female_pop,elderly_pop,median_hh_inc,BldgDepthbyFront,allother_race_pop,comps_perperson
2043,5014604,455.0,46.5257790368,1.9357733711,43613.2226629,0.097152588457,1.17337110482,0.621719335833,0.0,0.020487412962,0.00334761649705,0.0707016604178,0.519416175683,0.139260846277,10.8067755758,1020.80329933,0.0,0.0609266202464
2044,5014605,327.0,50.429787234,1.78211914894,35834.0876596,0.0610666737778,1.13276595745,0.659041394336,0.000816993464052,0.0280501089325,0.005174291939,0.0604575163399,0.510893246187,0.208877995643,24.8172657952,980.17924992,0.00925925925926,0.0890522875817
2045,5014606,353.0,32.3292397661,2.23904093567,53979.8783626,0.0723480187501,1.11169590643,0.606552901024,0.0,0.0435494880546,0.00150170648464,0.0445051194539,0.492696245734,0.107849829352,13.2195221843,863.908490419,0.0154266211604,0.0481911262799
2046,5014607,325.0,41.4584382872,1.93053736356,50883.0344249,0.0894715700409,1.053736356,0.608066816052,0.000407414952129,0.0533713587289,0.00224078223671,0.0415563251171,0.509064982685,0.167651252801,16.6801792626,992.506367269,0.00468527194948,0.0662049297209
2047,5014608,155.0,38.2319538017,2.05718960539,32484.7449471,0.0687879231943,1.02309913378,0.63162055336,0.0,0.0213438735178,0.00368906455863,0.06930171278,0.499868247694,0.137285902503,24.0500658762,817.819355497,0.0,0.0408432147563
2048,5014700,223.0,72.994994995,1.9386986987,98878.6016016,0.233942227951,1.32332332332,0.606934731935,0.0198135198135,0.0294289044289,0.00786713286713,0.0506993006993,0.494463869464,0.149184149184,24.159965035,1017.60022852,0.0,0.0649766899767
2049,5015100,527.0,69.2672413793,1.94290640394,39214.9593596,0.106461492508,1.33374384236,0.557492735575,0.000415110004151,0.0790784557908,0.00747198007472,0.0724366957244,0.522208385222,0.174346201743,18.0423412204,968.444953598,0.0155666251557,0.109381486094
2050,5015601,346.0,60.9472927647,1.65498802108,46807.7609008,0.134539976357,1.20076665069,0.638511968288,0.0,0.0396401890532,0.0,0.034151547492,0.513187985973,0.201707577375,14.9365756975,1015.86751391,0.017075773746,0.0527519438939
2051,5015602,139.0,52.0916955017,1.45951557093,35504.4455017,0.0666809768465,1.05190311419,0.666569936158,0.0,0.0133488102147,0.00290191526407,0.0139291932676,0.530760301799,0.204585026117,24.3943702844,1122.50916465,0.0,0.0403366221706
2052,5015603,505.0,45.838568298,1.99721694668,39502.0533236,0.08671030433,1.20087655223,0.641209747607,0.00261096605744,0.0463446475196,0.0,0.0369886858138,0.518276762402,0.111401218451,19.7136640557,904.04451896,0.00413402959095,0.109878154917
2053,5016901,264.0,59.4443181818,1.82584090909,77864.1068182,0.238816866794,1.23863636364,0.497106305209,0.0389887298203,0.0420347243375,0.00365519342065,0.0965580261956,0.499238501371,0.134937557112,22.3186110265,1280.00902872,0.0173621687481,0.0804142552543
2054,5017005,289.0,39.5871294288,1.89192335503,50181.7411424,0.0826243447624,1.10484454085,0.622422680412,0.000644329896907,0.0367268041237,0.0,0.0472508591065,0.550687285223,0.128006872852,21.5124570447,1179.35354647,0.00085910652921,0.0620704467354
2055,5017007,293.0,19.9091459721,2.64895215021,24933.0254391,0.0299341392883,1.01938219261,0.36852924687,0.062792001495,0.102410764343,0.0067277144459,0.113436740796,0.489441225939,0.0805456923939,14.5683049897,650.417471804,0.0183143337694,0.0547561203513
2056,5017008,397.0,38.4351109014,1.95797074092,25291.4695611,0.00209538425975,1.01934874941,0.644629207456,0.00268204371731,0.0230655759689,0.0,0.057932144294,0.540565911224,0.194716373877,11.2289124313,920.580040295,0.00965535738233,0.0532385677887
2057,5017009,139.0,42.0066945607,1.68920502092,33681.7748954,0.00273315976436,1.06527196653,0.661748013621,0.00317820658343,0.00227014755959,0.00703745743473,0.0372304199773,0.470601589103,0.147105561862,20.6583427923,1297.2762272,0.00227014755959,0.0315550510783
2058,5017010,390.0,35.7939060516,2.15171392298,40645.2340245,0.0848139746545,1.17096910707,0.547495872317,0.00330214639516,0.0444689047881,0.0,0.0831040176114,0.532746285085,0.12471106219,9.98866263071,842.587451956,0.00143093010457,0.042927903137
2059,5017011,169.0,42.6822958771,1.94449474535,35937.6305578,0.0472274026167,1.11317704123,0.649480069324,0.00454939341421,0.0214471403813,0.00368284228769,0.0426776429809,0.542461005199,0.234618717504,16.2086221837,1008.53368559,0.00714904679376,0.0366117850953
2060,5017012,179.0,40.3722741433,1.94250778816,32778.2733645,0.0363493589571,1.05140186916,0.600791336943,0.0085381091212,0.0154102457309,0.00770512286547,0.0664306538942,0.482090795502,0.243856726364,14.8111203665,961.397384336,0.00437317784257,0.0372761349438
2061,5017300,589.0,48.2536231884,1.62057971014,54643.02657,0.02657643939,1.07971014493,0.268880980625,0.156583629893,0.122973507315,0.0114669829972,0.107947805457,0.532226176354,0.169236852511,15.0300514037,1171.75448452,0.013839462238,0.232898378806
2062,5017600,252.0,39.7572132301,1.84859957776,57187.0555947,0.0683344610974,1.09078114004,0.620080321285,0.00522088353414,0.029718875502,0.00481927710843,0.0455823293173,0.5,0.15702811245,20.5945783133,1535.16149385,0.00722891566265,0.0506024096386
2063,5017700,279.0,53.5021949078,1.76311237928,74654.4464442,0.0505548211791,1.14354697103,0.580514599595,0.00650477016479,0.0822492049725,0.00549291702804,0.0291991905175,0.503469210755,0.205261636311,15.0994507083,1569.51506545,0.00780572419775,0.0403295750217
2064,5018100,159.0,57.4356435644,1.76750275028,461983.471947,0.914423621766,1.23212321232,0.551303200264,0.0118772682283,0.0653249752557,0.00593863411415,0.0692840646651,0.522929726163,0.270537776311,29.9930715935,1615.98688859,0.00626855823161,0.052457934675
2065,5018701,168.0,67.4471243043,2.01753246753,34898.7068646,0.116275040698,1.35621521336,0.525832376579,0.0218140068886,0.0574052812859,0.0166475315729,0.0717566016073,0.53214695752,0.149827784156,45.2066590126,865.163785076,0.0109070034443,0.0964408725603
2066,5018702,384.0,47.6254480287,1.86772401434,39733.942055,0.112252954079,1.08482676225,0.412222222222,0.0494444444444,0.200555555556,0.00111111111111,0.136944444444,0.559444444444,0.221805555556,11.57,994.97841027,0.00944444444444,0.0533333333333
