,GEOID,Complaint Count,BldgAge,NumFloors,AssessTot,BldgArea,BldgDepth,BldgFront,ComArea,FactryArea,GarageArea,NumBldgs,OfficeArea,OtherArea,StrgeArea,StrgeArea,Population
0,36005000100,5.0,84.0,6.0,474367500.0,5502107.0,0.0,0.0,5502107.0,0.0,0.0,167.0,0.0,5502107.0,0.0,0.0,7703.0
1,36005000200,132.0,65.5699177438,2.00764982374,23267.3842538,2008.62162162,43.0022561692,21.6789659224,113.991774383,26.9835487662,14.0904817861,1.17743830787,1.64512338425,42.7520564042,4.30199764982,4.30199764982,5403.0
2,36005000400,128.0,56.64017991,1.99464767616,63834.1994003,3534.17541229,43.7324137931,22.2328635682,271.211394303,0.0,22.7091454273,1.74662668666,12.6326836582,187.976011994,12.143928036,12.143928036,5915.0
3,36005001600,108.0,57.886627907,2.24831395349,356024.30814,10910.5436047,47.9170639535,27.4439244186,4594.87790698,0.0,28.023255814,1.21511627907,854.316860465,3650.875,0.203488372093,0.203488372093,5879.0
4,36005001900,196.0,85.9698630137,2.31917808219,752627.810959,21338.0493151,94.0435068493,63.0552328767,18367.2931507,9525.50410959,1401.11780822,1.29589041096,1287.22191781,529.389041096,5195.49589041,5195.49589041,2591.0
5,36005002000,109.0,77.4399141631,2.22525751073,112175.23176,6444.02575107,51.5593991416,25.3461587983,578.150214592,0.0,0.0,1.18884120172,43.4892703863,409.332618026,0.0,0.0,8516.0
6,36005002300,51.0,80.3636363636,5.45454545455,4275707.0,239875.727273,80.2345454545,71.0454545455,16420.2727273,2644.45454545,218.181818182,2.27272727273,10698.1818182,2647.27272727,121.272727273,121.272727273,4774.0
7,36005002400,19.0,61.5,4.0,3727350.0,269149.5,87.5,127.5,200.0,0.0,0.0,5.5,0.0,200.0,0.0,0.0,150.0
8,36005002500,176.0,83.8541666667,3.77083333333,427191.243056,19973.4166667,65.4108333333,38.6993055556,2076.15277778,0.0,73.9583333333,1.13888888889,378.201388889,660.284722222,44.7916666667,44.7916666667,5355.0
9,36005002701,60.0,88.8,4.23333333333,693855.533333,48279.7333333,81.239,57.386,5442.0,1208.33333333,158.333333333,1.36666666667,299.466666667,8.66666666667,0.0,0.0,3016.0
10,36005002702,108.0,54.1854304636,3.05298013245,302347.397351,12125.8476821,63.677615894,49.0456953642,2567.19205298,333.59602649,483.59602649,1.12582781457,129.443708609,377.072847682,576.218543046,576.218543046,4778.0
11,36005002800,134.0,69.2048192771,3.24096385542,656502.86747,37457.9277108,54.9309638554,54.075060241,6190.30120482,121.686746988,496.843373494,1.59036144578,26.8072289157,2638.75903614,1929.81927711,1929.81927711,5299.0
12,36005003100,59.0,89.4461538462,2.41538461538,367830.353846,21734.2,83.0938461538,77.4407692308,10569.9076923,6498.30769231,516.646153846,1.27692307692,141.830769231,356.584615385,1587.12307692,1587.12307692,1466.0
13,36005003300,73.0,52.7865853659,3.13109756098,308031.140244,10604.8292683,50.7175,35.6100609756,3262.19512195,1602.04268293,54.0548780488,1.07317073171,194.512195122,658.06097561,709.707317073,709.707317073,3912.0
14,36005003500,93.0,84.1612903226,3.02016129032,446326.314516,15322.7016129,69.6961290323,48.3831451613,5705.17741935,1824.82258065,298.040322581,1.22580645161,285.838709677,2301.56451613,396.548387097,396.548387097,3948.0
15,36005003700,19.0,51.1428571429,4.54761904762,1488483.52381,41197.4285714,63.4528571429,52.7138095238,3206.14285714,0.0,0.0,1.2380952381,0.0,2987.0952381,0.0,0.0,246.0
16,36005003800,56.0,62.6343283582,2.3171641791,38151.3955224,2924.62686567,42.6617164179,22.343880597,34.7014925373,0.0,0.0,1.11940298507,0.0,34.7014925373,0.0,0.0,1193.0
17,36005003900,200.0,80.1964285714,3.30654761905,228056.550595,8511.94345238,61.9688690476,29.126547619,2585.66369048,29.494047619,22.7380952381,1.08928571429,904.163690476,1143.49404762,18.2232142857,18.2232142857,6614.0
18,36005004001,40.0,75.8243902439,2.11302439024,123299.282927,4269.75609756,46.9800487805,23.0219512195,1292.08292683,0.0,8.07317073171,1.27804878049,5.26829268293,1217.78536585,15.1951219512,15.1951219512,1419.0
19,36005004100,114.0,87.546961326,3.04419889503,292507.370166,14134.0276243,55.1912707182,32.5721546961,3262.07734807,0.0,0.0,1.13812154696,623.005524862,1744.25966851,612.922651934,612.922651934,6476.0
20,36005004200,91.0,30.2739726027,3.16438356164,1513834.80822,51145.4931507,73.7180821918,72.3571232877,12265.6027397,130.630136986,9.58904109589,2.52054794521,1105.60273973,3527.90410959,0.0,0.0,7120.0
21,36005004300,128.0,45.5835962145,2.88485804416,270506.757098,9734.14511041,56.8947949527,33.9536908517,3384.95268139,32.5552050473,129.447949527,1.11041009464,1626.01892744,624.870662461,284.662460568,284.662460568,6057.0
22,36005004400,38.0,67.7108433735,2.3734939759,341127.349398,20918.939759,52.2118072289,33.9065060241,2394.87951807,0.0,23.1325301205,1.5421686747,53.2289156627,1390.62650602,0.0,0.0,4754.0
23,36005004600,41.0,27.6808510638,3.0585106383,501744.12766,16320.8297872,67.4746808511,46.3068085106,2612.23404255,0.0,28.085106383,1.68085106383,18.9361702128,770.191489362,16.4893617021,16.4893617021,1869.0
24,36005004800,134.0,82.7570093458,2.68224299065,312114.598131,13696.8785047,62.483271028,47.8821495327,2558.86915888,0.0,0.0,1.16822429907,128.971962617,1784.29906542,0.0,0.0,3999.0
25,36005005001,1000.0,69.7710280374,2.57476635514,112129.009346,7688.60747664,58.6362149533,30.2600934579,227.485981308,0.0,53.7570093458,1.07943925234,4.8785046729,0.0,0.0,0.0,4885.0
